"","X","last_first_name","BBE","Avg.LA","LA.Std.Dev","Sweet.Spot.","HH.LA","Oppo.FB.","Oppo.FB.EV","High.AA.","season","game_type","handedness","level","oppo_fb_pct_rank","oppo_fb_ev_pct_rank","high_aa_pct_rank","attack_angle_avg_rank","sweet_spot_pct_rank","launch_angle_avg_rank","hard_hit_pct_rank",".groups","poor_loft","loft_cohort","hhla_norm","avg_la_norm","ideal_aa_norm","sweet_spot_norm","angles_score","angles_tier","interaction_cohort","swspt_cohort"
"46",46,"Burleson, Alec",475,13.6,27.8,35.8,13.8,38.5,90.7,0,2024,"R","Overall","MLB",78.4,78.4,0,0,56.1,52.1,57.4,"drop",FALSE,"Non-Poor Loft",0.574,0.521,0,0.561,0.55209,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"47",47,"Busch, Michael",337,17.1,27.2,37.4,20.4,34.3,91.9,0,2024,"R","Overall","MLB",63.2,90.7,0,0,71.4,80.7,93.5,"drop",FALSE,"Non-Poor Loft",0.935,0.807,0,0.714,0.81762,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"48",48,"Butler, Lawrence",308,11.3,27.5,35.7,12.3,35.8,89.4,0,2024,"R","Overall","MLB",68.7,65.9,0,0,54.9,33.1,45.4,"drop",FALSE,"Non-Poor Loft",0.454,0.331,0,0.549,0.44571,"Below Average","Excluded from Analysis","Excluded from Analysis"
"49",49,"Buxton, Byron",258,19.8,29.3,39.5,17.1,17.3,91.5,0,2024,"R","Overall","MLB",3.8,86.7,0,0,84,91.5,83.2,"drop",FALSE,"Non-Poor Loft",0.832,0.915,0,0.84,0.86211,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"50",50,"Báez, Javier",206,11.2,28.4,29.6,9,26.4,85.1,0,2024,"R","Overall","MLB",30.1,16,0,0,7,32.6,18,"drop",FALSE,"Non-Poor Loft",0.18,0.326,0,0.07,0.19078,"Below Average","Excluded from Analysis","Excluded from Analysis"
"51",51,"Caballero, José",303,15.8,28.6,35.6,16.6,14.7,80.5,0,2024,"R","Overall","MLB",1.5,1.5,0,0,52.9,69.9,81,"drop",FALSE,"Non-Poor Loft",0.81,0.699,0,0.529,0.67783,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"52",52,"Cabrera, Oswaldo",237,12.5,28.5,35.9,7.1,37.5,83.7,0,2024,"R","Overall","MLB",74.2,7,0,0,57.6,41.1,10.3,"drop",TRUE,"Poor Loft",0.103,0.411,0,0.576,0.36546,"Below Average","Excluded from Analysis","Excluded from Analysis"
"53",53,"Calhoun, Willie",199,12.4,32.3,31.2,5.7,27.3,84.9,0,2024,"R","Overall","MLB",34.1,15,0,0,14,40.1,6.3,"drop",FALSE,"Non-Poor Loft",0.063,0.401,0,0.14,0.20072,"Below Average","Excluded from Analysis","Excluded from Analysis"
"54",54,"Cameron, Daz",120,8.6,25.9,38.3,3.4,26.5,88.9,0,2024,"R","Overall","MLB",30.3,59.1,0,0,77.9,13.5,2.5,"drop",FALSE,"Non-Poor Loft",0.025,0.135,0,0.779,0.31766,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
"55",55,"Caminero, Junior",127,6.7,37.1,25.2,9.2,37,92.6,0,2024,"R","Overall","MLB",72.7,94,0,0,0.8,7.5,21.1,"drop",FALSE,"Non-Poor Loft",0.211,0.075,0,0.008,0.0971,"Below Average","Excluded from Analysis","Excluded from Analysis"
