"","X","last_first_name","BBE","Avg.LA","LA.Std.Dev","Sweet.Spot.","HH.LA","Oppo.FB.","Oppo.FB.EV","High.AA.","season","game_type","handedness","level","oppo_fb_pct_rank","oppo_fb_ev_pct_rank","high_aa_pct_rank","attack_angle_avg_rank","sweet_spot_pct_rank","launch_angle_avg_rank","hard_hit_pct_rank",".groups","poor_loft","loft_cohort","hhla_norm","avg_la_norm","ideal_aa_norm","sweet_spot_norm","angles_score","angles_tier","interaction_cohort","swspt_cohort"
"435",435,"Bethancourt, Christian",224,11.2,30.2,29,13.2,26.8,94.1,0,2023,"R","Overall","MLB",29.2,98,0,0,4.8,33,51.9,"drop",FALSE,"Non-Poor Loft",0.519,0.33,0,0.048,0.29649,"Below Average","Excluded from Analysis","Excluded from Analysis"
"436",436,"Betts, Mookie",482,20.6,24.1,44.4,20.2,22.7,91.9,0,2023,"R","Overall","MLB",13.1,87.4,0,0,99,95.5,95.2,"drop",FALSE,"Non-Poor Loft",0.952,0.955,0,0.99,0.96591,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"437",437,"Bichette, Bo",457,6.2,26.1,39.6,8.1,38.4,91.1,0,2023,"R","Overall","MLB",78.8,80.9,0,0,86.9,8.6,15.4,"drop",FALSE,"Non-Poor Loft",0.154,0.086,0,0.869,0.37466,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
"438",438,"Biggio, Cavan",201,15.7,26.4,44.3,14.9,22.6,86.3,0,2023,"R","Overall","MLB",12.8,25.7,0,0,98.7,72.3,63.5,"drop",FALSE,"Non-Poor Loft",0.635,0.723,0,0.987,0.78372,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"439",439,"Blackmon, Charlie",308,18.1,27.5,39,10.6,21.5,83.2,0,2023,"R","Overall","MLB",11.1,7.1,0,0,82.4,87.7,30,"drop",FALSE,"Non-Poor Loft",0.3,0.877,0,0.824,0.66857,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"440",440,"Bleday, JJ",184,15.5,28.6,31,17.3,25,90.1,0,2023,"R","Overall","MLB",20.2,69.3,0,0,12.1,70.5,82.6,"drop",FALSE,"Non-Poor Loft",0.826,0.705,0,0.121,0.54637,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"441",441,"Bogaerts, Xander",492,7.9,30.1,30.3,8.9,36.9,87.4,0,2023,"R","Overall","MLB",72.5,37.5,0,0,9.3,14.9,17.9,"drop",TRUE,"Poor Loft",0.179,0.149,0,0.093,0.13986,"Below Average","Excluded from Analysis","Excluded from Analysis"
"442",442,"Bohm, Alec",470,11.1,27.5,36.8,9.6,43.8,88.5,0,2023,"R","Overall","MLB",90.7,48.6,0,0,61,32.5,22.7,"drop",FALSE,"Non-Poor Loft",0.227,0.325,0,0.61,0.38956,"Below Average","Excluded from Analysis","Excluded from Analysis"
"443",443,"Bregman, Alex",537,17.6,27.1,37.4,13.6,28.1,88.1,0,2023,"R","Overall","MLB",34.8,44.6,0,0,66.5,84.9,56.2,"drop",FALSE,"Non-Poor Loft",0.562,0.849,0,0.665,0.69173,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"444",444,"Brennan, Will",377,9.4,27.5,36.6,7.1,32.8,84.4,0,2023,"R","Overall","MLB",54.2,11.3,0,0,59.7,19.6,9.8,"drop",FALSE,"Non-Poor Loft",0.098,0.196,0,0.597,0.3,"Below Average","Excluded from Analysis","Excluded from Analysis"
"445",445,"Brown, Seth",244,16.4,30.8,34,16.9,24.7,90.1,0,2023,"R","Overall","MLB",19.6,69.3,0,0,34.5,76.3,80.1,"drop",FALSE,"Non-Poor Loft",0.801,0.763,0,0.345,0.63342,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"446",446,"Bryant, Kris",232,14.4,27.9,35.3,19.6,27,88.9,0,2023,"R","Overall","MLB",30.5,53.4,0,0,47.1,59.2,92.7,"drop",FALSE,"Non-Poor Loft",0.927,0.592,0,0.471,0.66141,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"447",447,"Burger, Jake",347,12.2,30.3,34.3,13.3,27.6,92.1,0,2023,"R","Overall","MLB",32.5,89.4,0,0,37.5,39.8,53.1,"drop",FALSE,"Non-Poor Loft",0.531,0.398,0,0.375,0.43407,"Below Average","Excluded from Analysis","Excluded from Analysis"
"448",448,"Burleson, Alec",267,12.4,27.9,37.8,12.5,43.9,90.4,0,2023,"R","Overall","MLB",91.2,73.6,0,0,70.3,41.8,46.6,"drop",FALSE,"Non-Poor Loft",0.466,0.418,0,0.703,0.53074,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"449",449,"Buxton, Byron",199,20.1,30.8,35.2,23,20.3,87.9,0,2023,"R","Overall","MLB",6.5,42.1,0,0,45.1,93.7,98.2,"drop",FALSE,"Non-Poor Loft",0.982,0.937,0,0.451,0.78661,"Excellent","Non-Poor Loft + Good Angles","Excluded from Analysis"
"450",450,"Báez, Javier",388,9.3,28.3,29.6,9,34.1,92.5,0,2023,"R","Overall","MLB",59.7,92.4,0,0,6.5,19.1,18.6,"drop",FALSE,"Non-Poor Loft",0.186,0.191,0,0.065,0.14651,"Below Average","Excluded from Analysis","Excluded from Analysis"
"451",451,"Caballero, José",167,21.5,29.9,34.7,17.9,25.6,85.2,0,2023,"R","Overall","MLB",23.7,16.4,0,0,41.1,97,84.9,"drop",FALSE,"Non-Poor Loft",0.849,0.97,0,0.411,0.74001,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"452",452,"Cabrera, Miguel",263,7.4,27.7,34.6,7.3,45.8,86.5,0,2023,"R","Overall","MLB",95,27.2,0,0,40.3,12.6,11.1,"drop",TRUE,"Poor Loft",0.111,0.126,0,0.403,0.21523,"Below Average","Excluded from Analysis","Excluded from Analysis"
"453",453,"Cabrera, Oswaldo",220,13.4,30.3,30,11.9,31.1,85.8,0,2023,"R","Overall","MLB",47.6,21.4,0,0,8.3,51.4,42.6,"drop",FALSE,"Non-Poor Loft",0.426,0.514,0,0.083,0.33842,"Below Average","Excluded from Analysis","Excluded from Analysis"
"454",454,"Calhoun, Kole",122,19.9,29.9,34.4,16.9,32.5,84,0,2023,"R","Overall","MLB",52.4,10.1,0,0,38.5,92.9,80.1,"drop",FALSE,"Non-Poor Loft",0.801,0.929,0,0.385,0.7018,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"455",455,"Calhoun, Willie",115,11.9,31.4,35.7,5.4,20.8,88.9,0,2023,"R","Overall","MLB",9.1,53.4,0,0,52.4,37.3,4.3,"drop",FALSE,"Non-Poor Loft",0.043,0.373,0,0.524,0.31544,"Below Average","Excluded from Analysis","Excluded from Analysis"
"456",456,"Call, Alex",292,17,31.1,31.5,12,27.6,84.2,0,2023,"R","Overall","MLB",32.5,10.3,0,0,16.1,81.4,43.6,"drop",FALSE,"Non-Poor Loft",0.436,0.814,0,0.161,0.46724,"Below Average","Excluded from Analysis","Excluded from Analysis"
"457",457,"Campusano, Luis",143,13.1,26.1,39.9,10.1,33.3,88.9,0,2023,"R","Overall","MLB",55.4,53.4,0,0,88.7,48.6,25.9,"drop",FALSE,"Non-Poor Loft",0.259,0.486,0,0.887,0.54743,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"458",458,"Candelario, Jeimer",382,14.1,27.8,39.3,13.4,31.8,87.3,0,2023,"R","Overall","MLB",49.4,35,0,0,84.4,56.9,54.2,"drop",FALSE,"Non-Poor Loft",0.542,0.569,0,0.844,0.65359,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"459",459,"Canha, Mark",362,13.1,29.6,32.3,9.1,23.9,88.4,0,2023,"R","Overall","MLB",15.9,47.4,0,0,21.4,48.6,19.4,"drop",FALSE,"Non-Poor Loft",0.194,0.486,0,0.214,0.29716,"Below Average","Excluded from Analysis","Excluded from Analysis"
"460",460,"Canzone, Dominic",141,16.4,28.4,33.3,15.9,31.8,90.5,0,2023,"R","Overall","MLB",49.4,74.3,0,0,27.7,76.3,69.3,"drop",FALSE,"Non-Poor Loft",0.693,0.763,0,0.277,0.57466,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"461",461,"Caratini, Victor",159,10.8,24.9,23.3,4.1,25,82.4,0,2023,"R","Overall","MLB",20.2,4,0,0,0,29.5,2.3,"drop",FALSE,"Non-Poor Loft",0.023,0.295,0,0,0.10494,"Below Average","Excluded from Analysis","Excluded from Analysis"
"462",462,"Carlson, Dylan",172,15,26.8,37.2,15.4,28.3,88.6,0,2023,"R","Overall","MLB",36.3,49.9,0,0,64.7,64.7,66,"drop",FALSE,"Non-Poor Loft",0.66,0.647,0,0.647,0.65129,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"463",463,"Carpenter, Kerry",304,13.1,26.7,39.1,19.1,33.3,91.1,0,2023,"R","Overall","MLB",55.4,80.9,0,0,83.4,48.6,91.2,"drop",FALSE,"Non-Poor Loft",0.912,0.486,0,0.834,0.7449,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"464",464,"Carpenter, Matt",125,24.5,27.9,36.8,24.8,13.7,87.3,0,2023,"R","Overall","MLB",1.3,35,0,0,61,99.5,99.2,"drop",FALSE,"Non-Poor Loft",0.992,0.995,0,0.61,0.86311,"Excellent","Non-Poor Loft + Good Angles","Excluded from Analysis"
"465",465,"Carroll, Corbin",437,11,30,33.9,11.2,30.6,88.7,0,2023,"R","Overall","MLB",44.1,51.4,0,0,33,31.7,35,"drop",FALSE,"Non-Poor Loft",0.35,0.317,0,0.33,0.33231,"Below Average","Excluded from Analysis","Excluded from Analysis"
"466",466,"Casas, Triston",305,15.7,29.2,38,18.9,25,89.1,0,2023,"R","Overall","MLB",20.2,57.2,0,0,72.5,72.3,90.9,"drop",FALSE,"Non-Poor Loft",0.909,0.723,0,0.725,0.78506,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"467",467,"Castellanos, Nick",447,14.4,25.3,36.9,16.3,33.3,88.9,0,2023,"R","Overall","MLB",55.4,53.4,0,0,62.5,59.2,75.3,"drop",FALSE,"Non-Poor Loft",0.753,0.592,0,0.625,0.65635,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"468",468,"Castro, Harold",193,10,24.7,38.9,13.1,44.7,88.7,0,2023,"R","Overall","MLB",92.2,51.4,0,0,82.1,23.2,51.4,"drop",FALSE,"Non-Poor Loft",0.514,0.232,0,0.821,0.52532,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"469",469,"Castro, Rodolfo",154,7.6,29.4,29.9,8.9,17.6,85.1,0,2023,"R","Overall","MLB",3.8,15.4,0,0,7.8,13.6,17.9,"drop",FALSE,"Non-Poor Loft",0.179,0.136,0,0.078,0.13047,"Below Average","Excluded from Analysis","Excluded from Analysis"
"470",470,"Castro, Willi",253,15.1,29.6,39.1,11.2,27.5,86.7,0,2023,"R","Overall","MLB",32.2,30,0,0,83.4,66.5,35,"drop",FALSE,"Non-Poor Loft",0.35,0.665,0,0.834,0.61851,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"471",471,"Cave, Jake",131,15.3,26.5,30.5,18.3,47.8,90.2,0,2023,"R","Overall","MLB",97,72.3,0,0,9.8,69,87.4,"drop",FALSE,"Non-Poor Loft",0.874,0.69,0,0.098,0.54944,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"472",472,"Chapman, Matt",346,18.5,30.9,34.1,16.6,34,92.7,0,2023,"R","Overall","MLB",58.2,94.2,0,0,35.8,89.2,77.3,"drop",FALSE,"Non-Poor Loft",0.773,0.892,0,0.358,0.67117,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"473",473,"Chisholm Jr., Jazz",228,10.7,29.3,27.6,17.3,34.8,91.2,0,2023,"R","Overall","MLB",61.5,82.4,0,0,2.3,28.5,82.6,"drop",FALSE,"Non-Poor Loft",0.826,0.285,0,0.023,0.37445,"Below Average","Excluded from Analysis","Excluded from Analysis"
"474",474,"Colás, Oscar",173,7.1,32.5,29.5,7,21.4,88,0,2023,"R","Overall","MLB",10.8,43.8,0,0,6.3,11.1,9.3,"drop",FALSE,"Non-Poor Loft",0.093,0.111,0,0.063,0.08874,"Below Average","Excluded from Analysis","Excluded from Analysis"
"475",475,"Conforto, Michael",304,12,30.3,33.2,16.6,30.1,92.6,0,2023,"R","Overall","MLB",42.6,93.7,0,0,26.7,37.8,77.3,"drop",FALSE,"Non-Poor Loft",0.773,0.378,0,0.267,0.47061,"Below Average","Excluded from Analysis","Excluded from Analysis"
"476",476,"Contreras, William",416,4.6,29.6,27.6,9,30.6,89.8,0,2023,"R","Overall","MLB",44.1,63.7,0,0,2.3,4.5,18.6,"drop",FALSE,"Non-Poor Loft",0.186,0.045,0,0.023,0.08405,"Below Average","Excluded from Analysis","Excluded from Analysis"
"477",477,"Contreras, Willson",319,10.1,28.9,35.1,9.7,41.9,92.5,0,2023,"R","Overall","MLB",86.4,92.4,0,0,44.6,23.7,23.4,"drop",FALSE,"Non-Poor Loft",0.234,0.237,0,0.446,0.30707,"Below Average","Excluded from Analysis","Excluded from Analysis"
"478",478,"Cooper, Garrett",292,13.2,23.6,43.2,16.8,43.2,91,0,2023,"R","Overall","MLB",89.4,79.1,0,0,97.2,49.9,79.6,"drop",FALSE,"Non-Poor Loft",0.796,0.499,0,0.972,0.75783,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"479",479,"Correa, Carlos",386,10.6,29.8,33.2,10.1,37.3,89.7,0,2023,"R","Overall","MLB",74.1,62.7,0,0,26.7,27.5,25.9,"drop",FALSE,"Non-Poor Loft",0.259,0.275,0,0.267,0.267,"Below Average","Excluded from Analysis","Excluded from Analysis"
"480",480,"Crawford, Brandon",205,14,28.7,33.7,14.1,33.8,87.2,0,2023,"R","Overall","MLB",57.7,34,0,0,30.7,55.9,60.2,"drop",FALSE,"Non-Poor Loft",0.602,0.559,0,0.307,0.48751,"Below Average","Excluded from Analysis","Excluded from Analysis"
"481",481,"Crawford, J.P.",409,15.1,27,37.9,11.5,23.5,85.5,0,2023,"R","Overall","MLB",14.9,18.4,0,0,71.5,66.5,38.3,"drop",FALSE,"Non-Poor Loft",0.383,0.665,0,0.715,0.58894,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"482",482,"Cron, C.J.",195,12.9,30.9,33.8,12.8,34,86.2,0,2023,"R","Overall","MLB",58.2,24.2,0,0,32.2,46.1,48.9,"drop",FALSE,"Non-Poor Loft",0.489,0.461,0,0.322,0.42298,"Below Average","Excluded from Analysis","Excluded from Analysis"
"483",483,"Cronenworth, Jake",360,15.2,27.1,38.1,14.3,35.5,84.9,0,2023,"R","Overall","MLB",65.5,14.1,0,0,74.1,67.3,61.2,"drop",TRUE,"Poor Loft",0.612,0.673,0,0.741,0.67599,"Good","Poor Loft + Good Angles","Poor Loft + Good Angles"
"484",484,"Davis, Henry",157,12.5,29.5,35.7,10,24.2,85.7,0,2023,"R","Overall","MLB",16.9,20.4,0,0,52.4,43.1,25.4,"drop",FALSE,"Non-Poor Loft",0.254,0.431,0,0.524,0.40421,"Below Average","Excluded from Analysis","Excluded from Analysis"
"485",485,"Davis, J.D.",334,7.8,25,34.7,10.5,42.6,92.6,0,2023,"R","Overall","MLB",87.7,93.7,0,0,41.1,14.6,28.7,"drop",FALSE,"Non-Poor Loft",0.287,0.146,0,0.411,0.28263,"Below Average","Excluded from Analysis","Excluded from Analysis"
"486",486,"De La Cruz, Bryan",442,11.8,25.9,41.9,11.6,41.8,89.8,0,2023,"R","Overall","MLB",86.1,63.7,0,0,94,36.5,39.5,"drop",FALSE,"Non-Poor Loft",0.395,0.365,0,0.94,0.5704,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"487",487,"De La Cruz, Elly",243,3.6,27.1,30.9,7.6,35.6,85.5,0,2023,"R","Overall","MLB",66.8,18.4,0,0,11.8,2.3,13.6,"drop",TRUE,"Poor Loft",0.136,0.023,0,0.118,0.09259,"Below Average","Excluded from Analysis","Excluded from Analysis"
"488",488,"DeJong, Paul",253,16.8,29.8,36,15.5,32.4,85.4,0,2023,"R","Overall","MLB",51.6,17.6,0,0,55.4,80.1,66.8,"drop",FALSE,"Non-Poor Loft",0.668,0.801,0,0.554,0.67313,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"489",489,"Delay, Jason",122,12.3,27,35.2,8.4,42.9,86.7,0,2023,"R","Overall","MLB",88.4,30,0,0,45.1,40.6,16.4,"drop",TRUE,"Poor Loft",0.164,0.406,0,0.451,0.34144,"Below Average","Excluded from Analysis","Excluded from Analysis"
"490",490,"Devers, Rafael",456,12.4,30.1,32,12,27.7,88.7,0,2023,"R","Overall","MLB",33.5,51.4,0,0,19.1,41.8,43.6,"drop",FALSE,"Non-Poor Loft",0.436,0.418,0,0.191,0.34676,"Below Average","Excluded from Analysis","Excluded from Analysis"
"491",491,"Diaz, Jordan",204,5.4,29.4,31.4,7.2,38.5,89,0,2023,"R","Overall","MLB",79.1,56.2,0,0,15.4,5.5,10.1,"drop",FALSE,"Non-Poor Loft",0.101,0.055,0,0.154,0.10384,"Below Average","Excluded from Analysis","Excluded from Analysis"
"492",492,"Diaz, Yainer",287,11.5,27.3,39.4,15.1,37.6,93.5,0,2023,"R","Overall","MLB",74.8,96.5,0,0,85.1,35.5,64.5,"drop",FALSE,"Non-Poor Loft",0.645,0.355,0,0.851,0.61934,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"493",493,"Dickerson, Corey",117,9.4,28,34.2,10.9,31.2,84.2,0,2023,"R","Overall","MLB",48.1,10.3,0,0,36.8,19.6,33,"drop",FALSE,"Non-Poor Loft",0.33,0.196,0,0.368,0.2987,"Below Average","Excluded from Analysis","Excluded from Analysis"
"494",494,"Donaldson, Josh",117,11.7,32.7,24.8,22.9,14.3,97.4,0,2023,"R","Overall","MLB",1.5,100,0,0,0.8,36,98,"drop",FALSE,"Non-Poor Loft",0.98,0.36,0,0.008,0.44492,"Below Average","Excluded from Analysis","Excluded from Analysis"
"495",495,"Donovan, Brendan",271,10.6,24.8,39.5,12,37.1,89,0,2023,"R","Overall","MLB",73.6,56.2,0,0,85.9,27.5,43.6,"drop",FALSE,"Non-Poor Loft",0.436,0.275,0,0.859,0.52669,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"496",496,"Doyle, Brenton",241,11.6,27.1,32,16.3,46.2,93.8,0,2023,"R","Overall","MLB",95.2,96.7,0,0,19.1,35.8,75.3,"drop",FALSE,"Non-Poor Loft",0.753,0.358,0,0.191,0.43157,"Below Average","Excluded from Analysis","Excluded from Analysis"
"497",497,"Drury, Brandon",354,11.8,28.3,37.3,11.5,32.3,88.7,0,2023,"R","Overall","MLB",51.4,51.4,0,0,65.2,36.5,38.3,"drop",FALSE,"Non-Poor Loft",0.383,0.365,0,0.652,0.46852,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
"498",498,"Dubón, Mauricio",398,9.5,28.4,37.9,7.2,43.3,83.8,0,2023,"R","Overall","MLB",89.7,9.1,0,0,71.5,20.7,10.1,"drop",TRUE,"Poor Loft",0.101,0.207,0,0.715,0.34474,"Below Average","Excluded from Analysis","Poor Loft + Good Angles"
"499",499,"Duffy, Matt",154,8.9,24.3,37,2.7,43.3,86.3,0,2023,"R","Overall","MLB",89.7,25.7,0,0,62.7,17.4,0.8,"drop",TRUE,"Poor Loft",0.008,0.174,0,0.627,0.27324,"Below Average","Excluded from Analysis","Excluded from Analysis"
"500",500,"Duran, Ezequiel",286,14,29.1,37.8,10.8,29.9,87.3,0,2023,"R","Overall","MLB",41.8,35,0,0,70.3,55.9,31.5,"drop",FALSE,"Non-Poor Loft",0.315,0.559,0,0.703,0.52744,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"501",501,"Duran, Jarren",242,10.7,27.1,32.6,11.4,41.7,85.6,0,2023,"R","Overall","MLB",85.4,19.9,0,0,22.7,28.5,36.8,"drop",TRUE,"Poor Loft",0.368,0.285,0,0.227,0.29267,"Below Average","Excluded from Analysis","Excluded from Analysis"
"502",502,"Duvall, Adam",215,28.9,27.8,35.3,26,18.6,94.2,0,2023,"R","Overall","MLB",5,98.2,0,0,47.1,100,99.7,"drop",FALSE,"Non-Poor Loft",0.997,1,0,0.471,0.81915,"Excellent","Non-Poor Loft + Good Angles","Excluded from Analysis"
"503",503,"Díaz, Aledmys",252,11.3,29.7,29.8,6.6,32.6,85.5,0,2023,"R","Overall","MLB",53.1,18.4,0,0,7.3,34,8.1,"drop",FALSE,"Non-Poor Loft",0.081,0.34,0,0.073,0.16375,"Below Average","Excluded from Analysis","Excluded from Analysis"
"504",504,"Díaz, Elias",372,12.7,27.9,31.2,9.7,28.4,85.4,0,2023,"R","Overall","MLB",37,17.6,0,0,13.6,44.6,23.4,"drop",FALSE,"Non-Poor Loft",0.234,0.446,0,0.136,0.27064,"Below Average","Excluded from Analysis","Excluded from Analysis"
"505",505,"Díaz, Yandy",433,5.7,27.6,32.8,5,48.9,87.3,0,2023,"R","Overall","MLB",97.5,35,0,0,23.7,6.8,3.5,"drop",TRUE,"Poor Loft",0.035,0.068,0,0.237,0.11457,"Below Average","Excluded from Analysis","Excluded from Analysis"
"506",506,"Edman, Tommy",398,7.5,29.8,29.4,5.6,32.6,87.8,0,2023,"R","Overall","MLB",53.1,41.1,0,0,6,13.1,5,"drop",FALSE,"Non-Poor Loft",0.05,0.131,0,0.06,0.08013,"Below Average","Excluded from Analysis","Excluded from Analysis"
"507",507,"Encarnacion-Strand, Christian",153,18.6,25.6,39.9,18.7,35.4,89.2,0,2023,"R","Overall","MLB",64.7,58.2,0,0,88.7,89.4,89.9,"drop",FALSE,"Non-Poor Loft",0.899,0.894,0,0.887,0.89327,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"508",508,"Escobar, Eduardo",212,14.4,29.7,31.6,16.5,31,85,0,2023,"R","Overall","MLB",46.3,14.6,0,0,17.1,59.2,77.1,"drop",FALSE,"Non-Poor Loft",0.771,0.592,0,0.171,0.50793,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"509",509,"Espinal, Santiago",194,11.4,27,35.1,8.8,39.1,84.3,0,2023,"R","Overall","MLB",80.1,10.8,0,0,44.6,34.5,17.1,"drop",TRUE,"Poor Loft",0.171,0.345,0,0.446,0.32192,"Below Average","Excluded from Analysis","Excluded from Analysis"
"510",510,"Estrada, Thairo",370,10.8,30.3,37.6,10.3,17.9,84.8,0,2023,"R","Overall","MLB",4.5,13.6,0,0,68.3,29.5,27.5,"drop",FALSE,"Non-Poor Loft",0.275,0.295,0,0.683,0.42032,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
"511",511,"Fairchild, Stuart",150,14.3,26.6,34,16.1,36.4,85.1,0,2023,"R","Overall","MLB",70,15.4,0,0,34.5,57.9,72.3,"drop",TRUE,"Poor Loft",0.723,0.579,0,0.345,0.54696,"Good","Poor Loft + Good Angles","Excluded from Analysis"
"512",512,"Farmer, Kyle",252,13.2,28.3,37.7,16.9,30.2,86.2,0,2023,"R","Overall","MLB",42.8,24.2,0,0,69,49.9,80.1,"drop",FALSE,"Non-Poor Loft",0.801,0.499,0,0.69,0.6636,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"513",513,"Fermin, Freddy",168,11.7,26.2,38.7,12.8,22.2,89.8,0,2023,"R","Overall","MLB",12.1,63.7,0,0,80.6,36,48.9,"drop",FALSE,"Non-Poor Loft",0.489,0.36,0,0.806,0.55421,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"514",514,"Flores, Wilmer",345,22,28.3,38.6,16,20.4,85.7,0,2023,"R","Overall","MLB",7.1,20.4,0,0,79.6,98.5,71,"drop",FALSE,"Non-Poor Loft",0.71,0.985,0,0.796,0.82999,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"515",515,"Ford, Mike",139,21,33.2,33.1,19.8,20.4,83.2,0,2023,"R","Overall","MLB",7.1,7.1,0,0,25.9,96,93.7,"drop",FALSE,"Non-Poor Loft",0.937,0.96,0,0.259,0.71407,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"516",516,"Fortes, Nick",236,13.9,30.9,28,9.2,21.7,86.7,0,2023,"R","Overall","MLB",11.6,30,0,0,3.3,54.9,20.2,"drop",FALSE,"Non-Poor Loft",0.202,0.549,0,0.033,0.25905,"Below Average","Excluded from Analysis","Excluded from Analysis"
"517",517,"Fraley, Jake",266,16.5,25.6,38.3,11.1,23.3,81.1,0,2023,"R","Overall","MLB",14.1,1.5,0,0,76.8,77.8,34.5,"drop",FALSE,"Non-Poor Loft",0.345,0.778,0,0.768,0.63171,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"518",518,"France, Ty",471,13.7,27.5,37.8,12,29.4,88,0,2023,"R","Overall","MLB",40.6,43.8,0,0,70.3,53.4,43.6,"drop",FALSE,"Non-Poor Loft",0.436,0.534,0,0.703,0.55912,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"519",519,"Franco, Wander",377,8.9,26.9,35.8,11.9,27.8,86.1,0,2023,"R","Overall","MLB",34,23.7,0,0,53.7,17.4,42.6,"drop",FALSE,"Non-Poor Loft",0.426,0.174,0,0.537,0.38058,"Below Average","Excluded from Analysis","Excluded from Analysis"
"520",520,"Frazier, Adam",345,15.2,26,42.9,13.6,26.1,84.4,0,2023,"R","Overall","MLB",26.7,11.3,0,0,95.7,67.3,56.2,"drop",FALSE,"Non-Poor Loft",0.562,0.673,0,0.957,0.73293,"Good","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"521",521,"Freeman, Freddie",521,15.2,22.8,48.4,16.8,36.4,88.4,0,2023,"R","Overall","MLB",70,47.4,0,0,100,67.3,79.6,"drop",FALSE,"Non-Poor Loft",0.796,0.673,0,1,0.82477,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"522",522,"Freeman, Tyler",123,6.2,29.9,43.1,9.3,25,89.2,0,2023,"R","Overall","MLB",20.2,58.2,0,0,96.5,8.6,20.4,"drop",FALSE,"Non-Poor Loft",0.204,0.086,0,0.965,0.4238,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
"523",523,"Frelick, Sal",156,8.1,32.1,30.1,7.3,32,83,0,2023,"R","Overall","MLB",50.1,5.3,0,0,8.6,15.6,11.1,"drop",FALSE,"Non-Poor Loft",0.111,0.156,0,0.086,0.11735,"Below Average","Excluded from Analysis","Excluded from Analysis"
"524",524,"Friedl, TJ",377,16.1,28.9,35.3,5.8,23.6,85,0,2023,"R","Overall","MLB",15.4,14.6,0,0,47.1,74.6,5.5,"drop",FALSE,"Non-Poor Loft",0.055,0.746,0,0.471,0.42447,"Below Average","Excluded from Analysis","Excluded from Analysis"
"525",525,"Gallo, Joey",139,26.4,30.2,28.8,36.6,20.7,91.3,0,2023,"R","Overall","MLB",8.3,84.1,0,0,4.3,99.7,100,"drop",FALSE,"Non-Poor Loft",1,0.997,0,0.043,0.67363,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"526",526,"Garcia, Maikel",358,6.1,28.1,38,7.8,45.5,89.7,0,2023,"R","Overall","MLB",93.7,62.7,0,0,72.5,8.1,14.1,"drop",FALSE,"Non-Poor Loft",0.141,0.081,0,0.725,0.31976,"Below Average","Excluded from Analysis","Non-Poor Loft + Good Angles"
