"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"527","Lorenzen, Michael","Slider",300,58,45.7,65,44,32.1,20.3,26.3,31.4,13.3,59.3,43.1,44.8
"528","Lorenzen, Michael","Sweeper",150,30,46,57.3,36.7,31.6,13.3,36.2,20.3,12.8,30,26.7,36.7
"529","Loup, Aaron","Sinker",160,41,49.4,75.6,58.1,37.3,26.9,35.4,10,7.3,16,51.2,31.7
"530","Loáisiga, Jonathan","Sinker",117,34,59,76.1,49.6,49.2,17.9,39.1,11.6,7.5,17.2,61.8,32.4
"531","Lugo, Seth","4-Seam Fastball",277,51,53.4,72.6,48.7,38.7,20.2,40.5,25,18.3,36.4,21.6,56.9
"532","Lugo, Seth","Curveball",232,52,51.7,63.4,37.5,37.9,13.8,30.8,25.8,12.3,41.8,55.8,28.8
"533","Lugo, Seth","Sinker",333,72,41.7,66.7,47.7,25.3,24.9,43.2,5,2.1,11.4,58.3,36.1
"534","Lugo, Seth","Slider",201,28,41.3,56.7,37.8,22.4,16.4,41,24.1,12.7,46.4,50,35.7
"535","Luzardo, Jesús","4-Seam Fastball",301,55,44.5,65.1,43.2,26.3,21.9,44.8,14.2,11.2,20,56.4,47.3
"536","Luzardo, Jesús","Slider",273,24,43.6,58.2,27.8,36,15,18.5,61.3,27.1,84.5,50,20.8
"537","Lyles, Jordan","4-Seam Fastball",383,74,45.2,68.7,48.6,27.4,24.5,39.9,17.3,10.9,31.5,24.3,39.2
"538","Lyles, Jordan","Sinker",287,62,47,63.8,35.2,37.1,17.8,41.5,12.6,7.6,17.4,64.5,43.5
"539","Lyles, Jordan","Sweeper",602,142,54.5,64.6,38.7,40.9,11,29.3,26.2,9.6,45.7,24.6,25.4
"540","Lynn, Lance","4-Seam Fastball",710,92,55.2,70,51.5,34.3,17.7,39.8,36.1,29.5,51.7,19.6,50
"541","Lynn, Lance","Curveball",186,26,44.1,49.5,20.4,35.1,6.5,32.9,35.4,13.3,48.1,50,30.8
"542","Lynn, Lance","Cutter",357,69,48.7,60.2,40.9,28.9,12.3,32.8,27,20.4,39.3,43.5,30.4
"543","Lynn, Lance","Sinker",273,62,48.4,62.3,30.8,37,14.3,37.1,15.9,9.7,21.4,46.8,38.7
"544","López, Jorge","Sinker",258,64,44.6,64.7,40.7,34,22.1,35.7,8.7,3.2,15.4,64.1,51.6
"545","López, Jorge","Slider",147,27,55.1,68.7,41.5,44.2,15,30.9,35.8,16.3,57.9,37,29.6
"546","López, Pablo","4-Seam Fastball",483,60,60,75.4,54.2,40.7,17.2,43.8,35.2,31.5,43.3,30,53.3
"547","López, Pablo","Changeup",240,44,57.5,61.3,40,38.2,5.4,33.3,34.1,20.5,54.5,59.1,43.2
"548","López, Pablo","Sinker",344,76,52,71.2,41.3,49,20.3,43.6,14,13.8,14.1,61.8,25
"549","López, Pablo","Sweeper",466,71,44,57.9,33,34.3,14.8,27.3,38,20.4,54.2,40.8,22.5
"550","López, Reynaldo","4-Seam Fastball",413,62,58.8,73.8,51.8,43.7,16.7,46.9,27.6,26.9,28.7,41.9,41.9
"551","López, Reynaldo","Slider",240,31,45,51.7,25,32.2,6.7,35.2,36.1,14,55.2,41.9,35.5
"552","Machado, Andrés","Sinker",176,46,58,75.6,45.5,54.2,19.3,35.3,19.6,12,26.9,45.7,30.4
"553","Maeda, Kenta","4-Seam Fastball",233,20,51.1,69.5,51.1,32.5,20.2,47.9,35.3,31.7,43.2,20,75
"554","Maeda, Kenta","Sinker",118,27,44.1,65.3,45.8,26.6,22,34.6,13.5,11.4,17.6,44.4,44.4
"555","Maeda, Kenta","Slider",326,64,53.4,65,38,39.6,12.9,33.3,29.9,16,46.2,28.1,35.9
"556","Maeda, Kenta","Split-Finger",237,39,59.5,63.3,24.9,51.7,5.1,40.4,31.9,14.3,41.3,46.2,53.8
"557","Mahle, Tyler","Slider",103,22,45.6,56.3,30.1,34.7,11.7,27.7,25.5,4.5,44,63.6,27.3
"558","Manaea, Sean","4-Seam Fastball",407,58,43.7,66.8,44.5,30.1,23.8,47.8,19.7,16.4,25,55.2,31
"559","Manaea, Sean","Slider",136,25,41.2,55.9,36.8,27.9,15.4,33.9,21.4,6.2,41.7,52,28
"560","Manning, Matt","4-Seam Fastball",224,30,41.1,61.2,43.3,23.6,21.4,39.1,28.3,24.2,36.7,36.7,63.3
"561","Manning, Matt","Slider",328,65,52.4,69.2,47.3,36.4,17.7,36,26.2,22,33.3,36.9,35.4
"562","Manoah, Alek","4-Seam Fastball",150,27,52,56.7,37.3,36.2,8,33.3,32.1,18.2,50,22.2,55.6
"563","Manoah, Alek","Sinker",281,57,46.3,70.8,44.8,34.8,24.9,46.2,9.2,7.9,11.1,52.6,38.6
"564","Manoah, Alek","Slider",285,33,46.3,56.8,29.8,34,11.2,38.6,36.4,20.3,51.5,30.3,30.3
"565","Mantiply, Joe","Curveball",155,27,47.1,61.3,32.9,37.5,15.5,28.8,34.2,23.5,43.6,51.9,18.5
"566","Mantiply, Joe","Sinker",139,32,54.7,74.8,56.8,43.3,21.6,39.5,18.4,18,19.2,65.6,34.4
"567","Marinaccio, Ron","4-Seam Fastball",193,22,46.6,63.7,41.5,34.5,19.7,47.8,27.8,21.6,35.9,50,50
"568","Marsh, Alec","4-Seam Fastball",203,27,41.4,62.1,49.3,17.5,22.7,42.9,23.8,19.7,38.9,14.8,33.3
"569","Marsh, Alec","Sweeper",167,26,47.3,58.7,24.6,44.4,12,17.7,48.1,13,62.5,38.5,38.5
"570","Marte, Yunior","Sinker",250,57,46.4,62,36,34.4,16.8,32.8,16.4,8.2,25.5,68.4,22.8
"571","Marte, Yunior","Slider",133,21,43.6,60.2,37.6,28.9,16.5,29.3,32.8,11.8,62.5,42.9,33.3
"572","Martin, Chris","Cutter",103,28,60.2,73.8,53.4,33.3,15.5,37.1,17.7,15.2,25,53.6,53.6
"573","Martin, Chris","Sinker",105,32,56.2,77.1,40,44.4,21.9,39,6.8,12.9,0,65.6,15.6
"574","Martinez, Nick","Changeup",248,35,56.9,65.7,33.9,50,9.7,24.8,50.4,33.9,62.2,45.7,17.1
"575","Martinez, Nick","Cutter",153,38,42.5,63.4,38.6,27.7,21.6,20,18.5,12.8,26.9,44.7,44.7
"576","Martinez, Nick","Sinker",315,80,50.8,70.5,41.9,37.7,20.6,42.5,7.5,4.4,11.6,55,30
"577","Martinez, Seth","Sinker",128,28,47.7,64.8,37.5,38.8,18,36.1,18,10,25.8,60.7,46.4
"578","Martinez, Seth","Sweeper",149,24,52.3,67.1,36.9,38.3,14.8,38.5,30.8,19,44.4,33.3,29.2
"579","Martínez, Adrián","Sinker",321,71,46.1,62.9,42.1,31.7,17.1,39.9,12.2,10.1,15.3,49.3,29.6
"580","Maton, Phil","4-Seam Fastball",174,21,49.4,62.1,43.1,29.3,14.4,36,39.5,26.3,65.5,38.1,47.6
"581","Maton, Phil","Curveball",157,21,59.9,67.5,30.6,50.5,7.6,28.7,48.9,41,54.5,66.7,4.8
"582","Maton, Phil","Sweeper",187,42,56.7,67.4,41.2,40.9,11.8,28.3,32.1,21.3,46.7,42.9,14.3
"583","Matz, Steven","Sinker",243,39,43.2,65.8,49.8,27,23,43.8,19,16.7,24.2,66.7,35.9
"584","May, Dustin","Sinker",151,39,51,73.5,50.3,42.7,23.8,41.6,7.8,4.4,12.5,61.5,35.9
"585","May, Trevor","Slider",148,26,38.5,63.5,42.6,29.4,25,49.1,5.3,0,12,53.8,38.5
"586","Mayza, Tim","Sinker",357,74,44,69.5,45.7,34,26.6,35.7,16.5,12,22.7,73,39.2
"587","McClanahan, Shane","4-Seam Fastball",164,35,51.2,68.3,48.8,29.8,17.7,44,14.3,8.5,28,40,54.3
"588","McClanahan, Shane","Slider",108,21,59.3,75,44.4,48.3,16.7,26.6,40.6,25.7,58.6,57.1,42.9
