"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"108","Flaherty, Jack","Overall",1427,239,41.1,58.5,36.4,27.4,18.2,36.3,22.7,15.1,32.9,41,34.7
"109","Fleming, Josh","Overall",575,143,46.1,61.4,33.9,32.6,15.8,32.5,13.2,7.8,19.4,65,49.7
"110","Flexen, Chris","Overall",807,148,46.3,61.6,38.8,31.2,15.9,35,24.9,15.9,37.7,42.6,34.5
"111","Floro, Dylan","Overall",464,75,43.5,59.3,35.8,31.9,18.3,39.6,22.3,15.9,29.5,41.3,41.3
"112","Foley, Jason","Overall",417,73,48.2,60,37.9,34.7,13.7,40.3,22.9,14.4,33.3,31.5,50.7
"113","France, J.P.","Overall",1185,202,43.6,61.2,40.8,30.8,18.1,37.1,23.8,15,36.1,52,31.7
"114","Freeland, Kyle","Overall",1889,427,51,64.6,41.3,34.4,14.5,39.3,16.3,8.4,28.3,38.6,45
"115","Fried, Max","Overall",1093,192,46.4,62.3,36,NA,16.6,35.3,26.4,14.1,41.3,55.7,33.9
"116","Fujinami, Shintaro","Overall",581,90,46.8,58.3,39.9,31.5,13.6,37.1,29.8,24.7,37.3,41.1,42.2
"117","Fulmer, Michael","Overall",350,54,47.7,63.7,38,33.2,17.4,38.9,28.7,12.6,50,37,44.4
"118","Gaddis, Hunter","Overall",380,78,41.8,58.2,41.6,NA,17.6,37.1,13.8,7.7,25.5,25.6,32.1
"119","Gallegos, Giovanny","Overall",370,68,53,63.2,36.8,38.5,12.2,30.6,34.7,20.8,51.1,27.9,39.7
"120","Gallen, Zac","Overall",1826,326,44.7,61.6,36.6,32.5,17.9,32.8,27.3,14.1,42.8,47.2,42
"121","García, Luis","Overall",404,74,48,59.4,37.6,34.1,12.1,34,27.8,13.9,45.3,56.8,37.8
"122","García, Yimi","Overall",453,60,44.6,58.9,38.9,30,16.1,32.2,38.1,22.7,60.2,43.3,35
"123","Garrett, Braxton","Overall",1913,364,48.5,66,41.9,35.2,18.2,36.5,24.2,12.3,40.4,48.4,47.3
"124","Gausman, Kevin","Overall",1509,223,47.6,64.1,37.1,34.4,17.6,41,27.8,17.8,39.9,40.8,41.3
"125","Germán, Domingo","Overall",885,159,51.9,65.8,40.5,38.3,14.7,35.5,29.6,17.1,45.5,37.1,37.1
"126","Gibaut, Ian","Overall",617,105,52.7,66,43.9,36.7,14.7,43.4,23.7,18.2,32.3,42.9,23.8
"127","Gibson, Kyle","Overall",1528,304,45.1,60.3,37.9,29.3,16.2,34.7,21,12.4,33.8,46.4,42.8
"128","Gilbert, Logan","Overall",1457,267,52,65.9,45.6,34.6,15.3,38.8,26,18.8,38.7,37.5,47.2
"129","Ginkel, Kevin","Overall",531,72,46.9,59.9,37.9,34.2,14.3,38.2,32.9,14.7,54.9,36.1,31.9
"130","Giolito, Lucas","Overall",1345,197,44.8,61,39.1,29.5,17.5,39.5,27.5,15.8,45,28.4,35
"131","Glasnow, Tyler","Overall",1102,165,48,64.7,42.7,33.3,17.2,33.5,34.6,18.2,59.5,53.3,43.6
"132","Gomber, Austin","Overall",1734,368,47.8,62.6,43.3,28.6,15.8,36.6,18.8,13.9,28.5,42.7,43.8
"133","Gonsolin, Tony","Overall",813,135,48.5,62,40.6,31.9,14.5,46.2,19,10.4,32.5,39.3,45.2
