"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"148","Harvey, Hunter","Overall",567,77,49.6,64.2,43.9,33,16,44.5,27.8,25.6,31.4,42.9,39
"149","Heaney, Andrew","Overall",588,89,40,57.8,39.6,25.9,18.5,39.1,23,16.1,33.7,52.8,34.8
"150","Hendricks, Kyle","Overall",973,223,47.6,66.9,38.3,38,19.6,34.3,17.3,13.6,21.1,47.1,31.4
"151","Henry, Tommy","Overall",336,72,48.5,64.3,44.9,30.3,16.1,31.9,23.3,15.9,37.5,36.1,26.4
"152","Herget, Jimmy","Overall",307,59,45.6,67.8,46.6,31.7,22.5,36.4,20.7,11.4,36.5,28.8,32.2
"153","Hernández, Carlos","Overall",616,106,51.9,63.6,40.1,37.7,13.1,36.6,30.3,19.9,43.9,34,47.2
"154","Hernández, Jonathan","Overall",343,59,43.1,62.1,37,28.2,19.2,29.1,29.7,11.5,55.7,50.8,44.1
"155","Hicks, Jordan","Overall",722,108,39.6,60.9,40.6,31,22.3,35,27.3,17.6,38.3,64.8,32.4
"156","Hill, Rich","Overall",528,84,39.8,58.1,38.8,25.4,18.8,32.4,23.8,18.8,31.7,53.6,27.4
"157","Hill, Tim","Overall",332,71,49.7,67.8,44.9,38.3,18.4,43.6,13.3,9.5,18.6,69,35.2
"158","Hoeing, Bryan","Overall",701,135,44.1,62.3,39.2,NA,19,33,23.3,12.4,37.9,49.6,47.4
"159","Hoffman, Jeff","Overall",608,88,52.1,65,42.9,38,14.5,37.2,35,17.3,59.8,45.5,28.4
"160","Holderman, Colin","Overall",486,86,44.2,62.3,41.6,28.2,18.9,35.3,24.7,15.6,40,53.5,40.7
"161","Hollowell, Gavin","Overall",401,59,44.4,59.1,38.9,29.4,15.7,40.4,26.4,25.5,27.8,35.6,39
"162","Holmes, Clay","Overall",586,90,43.9,63.8,41.8,30.8,20.8,36.6,28,14.5,47.6,60,41.1
"163","Holton, Tyler","Overall",433,85,48.5,67.7,43.6,34.8,19.9,33.8,23.7,16.7,34.1,55.3,18.8
"164","Honeywell, Brent","Overall",510,85,51.4,63.3,38.8,32.7,12.9,40.8,26.7,18.1,40.2,44.7,45.9
"165","Houck, Tanner","Overall",805,157,48.1,64.7,41.9,36.3,17.4,30,29.4,16.1,46.5,58,38.2
"166","Houser, Adrian","Overall",980,200,47.6,65.7,41.5,34.6,19.4,39.1,17.7,12.6,24.7,53,45
"167","Hudson, Dakota","Overall",672,133,49.9,61.6,39.7,33.6,12.8,39.1,21.2,10.6,36.8,50.4,40.6
"168","Iglesias, Raisel","Overall",446,69,56.3,69.3,40.4,44.7,13.5,38.2,34.3,21.2,48.7,39.1,39.1
"169","Irvin, Jake","Overall",987,164,40.5,60.2,40.6,24.6,20.3,39.8,19.2,11.3,33.3,43.3,41.5
"170","Jackson, Andre","Overall",567,93,48.1,65.1,40,29.7,17.6,40.7,25.3,19.8,34.7,33.3,47.3
"171","Jackson, Luke","Overall",373,57,49.1,62.5,39.9,36.2,13.9,39.9,28.4,14.7,45.7,59.6,36.8
"172","Jameson, Drey","Overall",369,57,45.8,61,40.9,33.5,16.8,30.2,36.1,22.9,53.4,42.1,42.1
"173","Jansen, Kenley","Overall",376,61,54.3,66.8,43.6,35.8,13.8,38.2,31.9,26.6,40.8,11.5,32.8
"174","Javier, Cristian","Overall",1443,208,49.7,59.7,36.6,34.8,11.7,37.2,33.6,22.3,47.8,20.7,45.2
"175","Jax, Griffin","Overall",619,119,49.1,65.6,43,32.9,17.9,34.9,25,16.5,38.8,58.8,36.1
"176","Jiménez, Joe","Overall",542,87,51.8,67,43.9,36.2,16.6,35.6,33.1,23.4,48.2,33.3,39.1
"177","Johnson, Pierce","Overall",629,103,48.3,66.3,41,38.8,18.8,33.6,31.6,11.9,53.5,39.8,46.6
"178","Junis, Jakob","Overall",923,158,47.5,67.6,41,36.9,21.2,33.8,29.6,12.2,50.2,42.4,34.2
"179","Kaprielian, James","Overall",630,98,48.4,65.7,41.3,34.9,17.6,39.3,28.5,24.4,34.1,30.6,34.7
"180","Karinchak, James","Overall",433,53,39,58.9,34.9,27.7,20.8,39.6,29,14.3,46.2,35.8,37.7
"181","Keller, Brad","Overall",412,63,35.9,53.4,33.5,24.5,17.5,32.4,25,12.3,40.3,57.1,28.6
"182","Keller, Mitch","Overall",1439,273,46.5,65.5,44.5,33.1,20.4,37.8,21.4,16.5,28.8,48.7,35.5
"183","Kelly, Kevin","Overall",646,132,46.3,67,43.2,34.1,21.2,34.8,21.1,16.1,28,53.8,30.3
"184","Kelly, Merrill","Overall",1564,262,52.6,66,39.5,39.1,14.9,38.9,29,19.6,40.5,44.7,40.1
"185","Kershaw, Clayton","Overall",313,64,53.4,66.8,42.5,36.1,14.1,41.9,18.6,7.8,35.4,46.9,48.4
"186","Kikuchi, Yusei","Overall",567,94,47.4,64.7,45,31.7,19,37.2,27.9,20,41.4,41.5,37.2
"187","Kimbrel, Craig","Overall",733,101,46,63,45.3,29.7,18.4,38.6,30.5,23.7,42.9,37.6,48.5
"188","King, Michael","Overall",981,152,41.3,64.2,38,32.9,23.5,31.1,31.4,12.7,50.5,46.1,37.5
"189","Kirby, George","Overall",1484,300,55.3,69.3,43.1,40.6,15.5,38.5,24.4,16.1,35.9,46,39
"190","Kluber, Corey","Overall",454,93,48.9,65.2,39.9,34.4,16.7,33.8,23.4,16.4,33,30.1,36.6
"191","Koch, Matt","Overall",319,74,52.4,64.9,41.7,35.5,13.2,32.9,22.2,10.9,39.4,56.8,44.6
"192","Kopech, Michael","Overall",1205,190,43,59.6,40.7,27.3,17.4,39.6,23.7,15.2,37.9,37.9,41.1
