"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"671","Muller, Kyle","4-Seam Fastball",631,128,51.3,66.4,51.8,28.3,16.3,44.1,16,11.3,29.1,44.5,61.7
"672","Muller, Kyle","Curveball",167,23,41.3,49.1,25.7,29,8.4,34.8,31.9,12.1,50,47.8,52.2
"673","Muller, Kyle","Slider",244,49,59,68,44.3,41.9,11.1,38.9,26.4,14.9,43.9,32.7,40.8
"674","Murphy, Chris","4-Seam Fastball",201,42,48.3,61.2,41.3,26.3,13.9,37.1,19.6,13.6,32.3,47.6,52.4
"675","Murphy, Chris","Slider",155,26,57.4,70.3,43.9,40.2,14.2,52.8,18,14.8,22.9,50,38.5
"676","Musgrove, Joe","4-Seam Fastball",208,39,49,63.9,34.1,43.1,16.3,41.2,20.6,14,25.4,43.6,20.5
"677","Musgrove, Joe","Changeup",134,24,53,54.5,19.4,42.6,1.5,26.8,39.4,12,54.3,50,33.3
"678","Musgrove, Joe","Curveball",211,25,45,64,36,41.5,20.9,36.8,35.8,10.3,53.6,32,36
"679","Musgrove, Joe","Cutter",198,34,51.5,74.7,55.1,39.3,24.2,53.9,12.7,10.4,17.1,41.2,23.5
"680","Muñoz, Andrés","4-Seam Fastball",170,24,45.3,62.9,45.3,24.7,17.6,45.5,23.4,22.2,26.1,66.7,45.8
"681","Muñoz, Andrés","Slider",210,29,51.4,69.5,33.3,42.9,18.1,24.1,49.1,37.5,58.3,41.4,48.3
"682","Nardi, Andrew","4-Seam Fastball",410,72,55.9,68.5,45.1,38.2,13.2,47.2,21.4,17.5,27.9,51.4,31.9
"683","Nardi, Andrew","Slider",204,23,47.5,64.2,33.3,41.9,17.2,42.3,34,15,47.4,39.1,30.4
"684","Nelson, Kyle","4-Seam Fastball",129,35,51.9,66.7,49.6,30.8,16.3,35.8,11.9,6.4,25,40,45.7
"685","Nelson, Kyle","Slider",255,47,60.4,70.2,34.9,51.8,10.2,33.8,35.7,13.2,53.5,53.2,36.2
"686","Nelson, Ryne","4-Seam Fastball",726,160,52.6,67.2,48.5,32.9,16.7,44.8,13.1,10,19.5,37.5,40.6
"687","Nelson, Ryne","Changeup",308,48,43.8,52.6,34.4,26.7,9.7,33.3,31.1,23.5,42.6,47.9,37.5
"688","Neris, Hector","4-Seam Fastball",314,42,46.8,59.6,42.4,26.5,15.3,38.1,32.7,29.3,39.6,23.8,26.2
"689","Neris, Hector","Split-Finger",224,34,49.1,58.5,27.2,40.5,9.4,30.9,37.3,22.7,47,50,14.7
"690","Nola, Aaron","4-Seam Fastball",518,86,45.8,62,40.5,30.5,17.2,41.4,21.9,17.5,28.7,27.9,33.7
"691","Nola, Aaron","Changeup",326,61,47.5,56.4,22.1,39.4,9.5,32.9,27.7,12.7,36,50.8,32.8
"692","Nola, Aaron","Knuckle Curve",535,87,52.9,71.2,33.8,49.4,18.7,37.5,31.4,13,42.9,55.2,33.3
"693","Nola, Aaron","Sinker",161,33,38.5,67.7,44.7,22.5,29.2,38.7,8.1,7.1,10,30.3,51.5
"694","Ober, Bailey","4-Seam Fastball",566,85,57.2,68.9,42,NA,13.4,48.5,25.3,18.9,34.6,20,34.1
"695","Ober, Bailey","Changeup",395,91,52.4,67.1,38.7,39.7,15.2,29.5,26.6,28.8,24,50.5,20.9
"696","Ober, Bailey","Curveball",114,24,36,61.4,41.2,26.9,26.3,26.8,14.6,8.7,22.2,37.5,37.5
"697","Ohtani, Shohei","4-Seam Fastball",325,59,52.6,68,51.7,31.8,19.1,44.4,20.5,19,24,47.5,39
"698","Ohtani, Shohei","Cutter",221,39,52.9,62.9,47.1,28.2,11.3,41.9,23.9,9.5,60.6,48.7,48.7
"699","Ohtani, Shohei","Sweeper",299,32,43.8,66.2,46.5,31.2,22.7,41.2,34.4,16,64,37.5,31.2
"700","Okert, Steven","4-Seam Fastball",254,41,44.1,57.9,37,28.1,15,35.7,26.5,16.2,42.2,31.7,22
"701","Okert, Steven","Slider",361,57,51.8,68.4,44,37.6,18,40.6,28.3,26.1,31.6,15.8,43.9
"702","Olson, Reese","4-Seam Fastball",356,56,42.7,61,43,23.2,19.4,48.7,13.8,10.5,21.3,25,48.2
"703","Olson, Reese","Changeup",164,24,46.3,51.8,19.5,37.9,5.5,34.2,34.2,3.8,50,58.3,45.8
"704","Olson, Reese","Slider",211,27,44.1,62.6,38.9,30.2,18.5,36.6,34.4,16.7,59,29.6,44.4
"705","Ort, Kaleb","4-Seam Fastball",154,28,46.1,60.4,42.2,23.6,15.6,45.1,15.5,16,14.3,25,46.4
"706","Ortiz, Luis L.","4-Seam Fastball",227,47,45.4,64.3,49.3,23.5,19.8,40.8,13.6,10.5,22.2,31.9,55.3
"707","Ortiz, Luis L.","Changeup",154,27,45.5,48.1,20.8,35.2,4.5,31.4,30,18.5,37.2,51.9,37
"708","Ortiz, Luis L.","Slider",187,32,44.4,57.8,31,31.8,14.4,24.1,36.1,16.7,56.1,43.8,40.6
"709","Oviedo, Johan","4-Seam Fastball",637,119,44.1,58.1,39.7,24.2,15.2,35.6,21.7,12.8,39.8,50.4,53.8
"710","Oviedo, Johan","Curveball",300,36,42,60.7,36.7,28.4,19.3,32.5,38.1,25,55.6,41.7,30.6
"711","Oviedo, Johan","Slider",533,92,49.9,65.3,42.4,29.3,16.5,37.2,27.8,16.5,50,40.2,34.8
"712","Pagán, Emilio","4-Seam Fastball",293,47,53.9,67.6,49.1,33.6,14.3,43.7,26.6,23.1,34,8.5,53.2
"713","Pallante, Andre","4-Seam Fastball",487,111,49.3,65.1,47.4,28.9,16.6,40,13.8,6.6,29.7,83.8,38.7
"714","Paxton, James","4-Seam Fastball",733,126,56.8,69.2,50.5,34.4,13.8,46.6,23,19.5,31.2,31.7,46
"715","Paxton, James","Cutter",174,28,59.2,67.2,35.1,44.2,8.6,39.8,33,15.1,52,42.9,46.4
"716","Paxton, James","Knuckle Curve",269,33,42,59.1,32.7,37,17.5,31.9,38.9,13,56.7,54.5,33.3
"717","Payamps, Joel","4-Seam Fastball",137,22,56.2,70.1,39.4,43.4,14.6,35.1,35.1,31.7,38.9,40.9,50
"718","Payamps, Joel","Changeup",133,27,48.1,61.7,39.8,26.2,14.3,35.9,20.3,11.6,38.1,51.9,44.4
"719","Pearson, Nate","4-Seam Fastball",222,30,46.4,59,47.3,21.4,14.9,42.7,28.2,24.4,40,20,60
"720","Peguero, Elvis","Sinker",209,42,43.5,59.8,33,33.6,17.2,34.1,19.8,13.6,25.5,54.8,33.3
"721","Peguero, Elvis","Slider",203,29,50.7,61.6,28.6,41.4,13.8,26.2,45.2,22.7,61.7,41.4,34.5
"722","Pepiot, Ryan","4-Seam Fastball",166,25,44,63.9,47,25,21.1,49.3,15.1,11.8,22.7,24,32
"723","Pepiot, Ryan","Changeup",141,31,51.8,64.5,26.2,42.3,12.8,31.5,26,17.2,31.8,61.3,12.9
"724","Peralta, Freddy","4-Seam Fastball",806,117,49.3,61.2,44.2,29.8,14.4,40.6,30,24,41.8,38.5,40.2
"725","Peralta, Freddy","Changeup",340,62,46.5,58.5,33.8,32,12.9,34.8,25.9,11.6,43.1,66.1,30.6
"726","Peralta, Freddy","Curveball",249,46,46.6,62.2,39.4,36.4,16.9,29.3,31,14.8,49.1,30.4,17.4
"727","Peralta, Sammy","Changeup",112,20,44.6,65.2,34.8,37,20.5,38,22,21.7,22.2,45,45
"728","Peralta, Wandy","Changeup",291,52,47.8,58.4,23,37.9,10.7,26.6,36,20.4,45.9,65.4,34.6
"729","Peralta, Wandy","Sinker",126,22,36.5,58.7,41.3,17.6,23.8,39.1,13,9.1,23.1,40.9,54.5
"730","Perdomo, Angel","4-Seam Fastball",185,30,51.4,69.7,49.2,33,18.9,37.9,30.5,29.7,32.3,26.7,43.3
"731","Peterson, David","4-Seam Fastball",416,43,40.6,49.8,30.5,25.3,11.1,47.3,27.2,20.8,35.6,34.9,41.9
"732","Peterson, David","Changeup",351,61,48.1,61.8,35.9,33.8,14.2,32.5,30.6,22.3,40.8,52.5,32.8
"733","Peterson, David","Curveball",142,20,42.3,61.3,32.4,36.5,19.7,26.7,38.3,20,51.4,70,40
"734","Peterson, David","Sinker",346,70,40.8,65.6,43.1,24.9,25.7,34.8,12.8,3.3,30.6,68.6,48.6
"735","Peterson, David","Slider",243,43,56.8,63.4,30,48.2,7.8,26.8,41.4,17.2,58.5,53.5,51.2
"736","Pfaadt, Brandon","4-Seam Fastball",423,76,45.4,60.8,48.7,23.5,17.5,42.7,17.7,12.8,31.4,32.9,48.7
"737","Pfaadt, Brandon","Changeup",196,39,44.4,55.1,34.2,29.5,11.7,19.5,32.2,26.5,39.5,38.5,56.4
"738","Pfaadt, Brandon","Sweeper",138,25,52.2,69.6,44.2,37.7,18.1,36.1,29.2,20.9,41.4,24,44
"739","Phillips, Connor","4-Seam Fastball",155,20,43.2,60.6,40.6,26.1,18.1,56.7,13.4,7,25,45,60
"740","Phillips, Evan","Cutter",225,65,59.6,72.4,59.1,31.5,13.8,38.8,12.7,9.5,24.1,50.8,33.8
"741","Pivetta, Nick","4-Seam Fastball",519,75,50.9,69.6,47.4,38.1,19.8,47,24.6,14.4,40.4,36,49.3
"742","Pivetta, Nick","Curveball",331,49,43.2,60.4,35.3,32.2,17.5,35.7,29.4,13.5,46.4,36.7,34.7
"743","Poche, Colin","4-Seam Fastball",424,86,48.1,64.6,40.6,37.7,17.2,41.2,16.7,11.9,22.1,32.6,31.4
"744","Poche, Colin","Slider",226,36,51.8,61.1,33.2,35.1,10.2,28.2,41,20.3,66,41.7,38.9
"745","Pressly, Ryan","4-Seam Fastball",120,24,40.8,67.5,50.8,22,27.5,40.8,8,2.7,23.1,54.2,29.2
"746","Pressly, Ryan","Curveball",191,29,52.4,68.6,40.8,45.1,17.3,31,38.6,6,70.6,51.7,58.6
"747","Pressly, Ryan","Slider",187,36,60.4,70.6,37.4,46.2,10.7,32.7,35.4,18.6,53.7,61.1,50
"748","Priester, Quinn","4-Seam Fastball",150,35,45.3,66.7,50.7,24.3,21.3,33.8,14.7,10,27.8,40,40
"749","Puk, A.J.","4-Seam Fastball",372,64,54,73.1,55.4,30.7,19.9,38.8,29.4,28.7,31.4,43.8,40.6
"750","Puk, A.J.","Sweeper",266,37,43.6,59.8,33.1,33.7,16.2,29.3,38.8,21.4,55,37.8,21.6
"751","Pérez, Cionel","4-Seam Fastball",172,37,47.1,69.2,52.3,28,22.7,39.5,14.8,13.8,17.4,62.2,45.9
"752","Pérez, Cionel","Sinker",152,36,46.1,60.5,40.8,27.8,15.8,30,18.6,13.3,28,80.6,52.8
"753","Pérez, Eury","4-Seam Fastball",380,61,53.2,70.3,51.3,30.8,18.7,51,18.8,16.6,24.6,13.1,39.3
"754","Pérez, Martín","Changeup",556,126,54,62.2,23.7,44.8,8.5,29.3,27.9,20.7,32.1,53.2,27.8
"755","Pérez, Martín","Cutter",439,82,39.9,57.9,34.9,24.8,18.5,40.6,11.4,11.4,11.3,37.8,41.5
"756","Pérez, Martín","Sinker",662,132,37.5,64.7,46.1,19.6,27.8,38.3,8.5,6.7,12.9,41.7,47
"757","Quantrill, Cal","Changeup",137,21,44.5,53.3,23.4,33.3,10.2,47.5,18,3.8,28.6,42.9,33.3
"758","Quantrill, Cal","Cutter",192,23,38.5,52.1,38,16.8,15.1,41.9,27,22.2,40,30.4,43.5
"759","Quantrill, Cal","Sinker",347,46,43.2,59.7,37.5,27.2,18.4,44,25.3,18.7,35.6,30.4,52.2
"760","Quantrill, Cal","Split-Finger",142,34,52.1,56.3,15.5,45,4.9,31.1,23,20,24.1,67.6,29.4
"761","Quintana, José","4-Seam Fastball",234,42,48.3,55.6,32.5,32.3,9,38.9,23.9,14.5,35.3,23.8,26.2
"762","Quintana, José","Changeup",213,46,47.9,52.6,19.7,39.8,6.1,24.5,30.4,14.7,38.2,67.4,23.9
"763","Quintana, José","Curveball",246,43,42.7,61,24.8,37.3,18.3,30.5,26.7,8.3,36.2,44.2,30.2
"764","Quintana, José","Sinker",311,53,41.5,70.1,44.4,23.7,28.9,45.7,12.4,6.8,24.4,47.2,47.2
"765","Ragans, Cole","4-Seam Fastball",474,50,49.6,62,40.9,31.8,14.3,48.9,28.9,22.6,39.3,28,54
"766","Ragans, Cole","Changeup",357,71,55.2,62.2,31.7,39.3,7.6,28.4,35.5,29.7,41.7,45.1,19.7
"767","Ragans, Cole","Curveball",169,20,30.2,58,36.7,23.4,28.4,25.5,35.3,15.4,56,60,35
"768","Ragans, Cole","Cutter",159,24,49.1,66,43.4,27.8,18.2,46.2,23.1,20.8,28,54.2,29.2
"769","Raley, Brooks","Changeup",147,26,40.8,44.9,15.6,32.3,4.1,15,41.7,25,50,65.4,30.8
"770","Raley, Brooks","Sinker",106,21,42.5,61.3,45.3,22.4,18.9,37.8,15.2,9.1,30.8,42.9,52.4
"771","Ramirez, Nick","Changeup",159,48,64.2,72.3,34,55.2,8.8,24.5,28.4,18.2,36.2,37.5,14.6
"772","Ramirez, Nick","Sinker",116,28,42.2,67.2,50,25.9,25,36.7,6.1,0,20,64.3,50
"773","Ramirez, Yohan","Sinker",187,38,40.1,61,46,17.8,21.4,36,13.3,8.8,27.8,55.3,44.7
"774","Ramírez, Erasmo","Cutter",222,44,45.9,68,51.4,19.4,22.5,42.2,12.7,11.1,19,43.2,63.6
"775","Ramírez, Erasmo","Sinker",105,21,44.8,63.8,49.5,24.5,20,40.4,14.6,8.6,30.8,47.6,57.1
