"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"356","Shreve, Chasen","Overall",753,133,47.9,63.6,34.4,NA,16.5,34.3,28.5,17.4,37.2,44.4,37.6
"357","Shuster, Jared","Overall",864,173,45.6,60.8,39.6,28.5,16.1,34.5,21.6,13.9,34.2,35.8,38.7
"358","Silseth, Chase","Overall",888,137,43.8,60.1,38.7,30.5,17.1,36.5,27.4,17.8,40.4,48.9,42.3
"359","Sims, Lucas","Overall",1057,137,45.7,59.5,38,31.3,14.9,37.7,33.1,22.7,47.3,24.8,32.1
"360","Singer, Brady","Overall",2612,512,45.6,63.2,42.1,29.8,18.3,33.9,22.7,10.7,42.4,50.2,48.6
"361","Skubal, Tarik","Overall",1218,191,53,67.9,43.1,39,16.4,38.3,31.3,19.2,48.1,51.8,40.3
"362","Smith, Drew","Overall",1082,150,46.5,58.9,35.6,31,14.7,43.7,26,19.5,34.7,30.7,39.3
"363","Smith, Will","Overall",926,162,50,65.7,38.8,36.3,16.3,34.3,29.7,17.4,45.1,30.9,37.7
"364","Smyly, Drew","Overall",2401,423,46.6,61.9,36.9,34.1,16.5,34.9,27.1,17.9,37.7,35.9,33.6
"365","Snell, Blake","Overall",3168,406,42.9,57.7,31.2,31.3,15.5,32.7,37.3,19.7,54.8,43.6,34
"366","Soriano, George","Overall",899,150,44.7,61.1,41.5,30.2,17.1,34.1,28.6,15.6,48.4,42.7,38
"367","Soroka, Michael","Overall",537,100,45.3,60.9,39.9,29.7,16.6,35.4,23.5,15.6,35.4,46,34
"368","Soto, Gregory","Overall",1025,172,47.8,65,43.4,33.6,17.9,31.4,33.2,22,50.3,53.5,34.3
"369","Speier, Gabe","Overall",782,138,52.4,67.6,39.9,42.6,15.9,35.9,30,16.4,44.5,55.8,42
"370","Stanek, Ryne","Overall",918,154,52,61.3,42.5,30.9,10.7,37.9,29.8,22.9,42.9,31.8,46.1
"371","Steele, Justin","Overall",2678,497,52.9,66.5,44.4,36.7,14.7,41,23.8,13.1,41,50.3,36.6
"372","Stephan, Trevor","Overall",1128,188,49.9,61.4,37.1,36,12.5,36.1,30.6,21.4,41.6,42.6,38.3
"373","Stephenson, Robert","Overall",763,108,53.6,69.3,39.7,44.1,15.9,26.7,46.3,25.6,67.5,34.3,32.4
"374","Stone, Gavin","Overall",547,115,50.8,62.9,36.2,37.5,13.3,27.7,30.9,21.8,41.2,47,37.4
"375","Strahm, Matt","Overall",1459,232,50.5,66.1,44.8,35.2,16.7,40.8,27.4,21.1,37.5,33.6,41.8
"376","Stratton, Chris","Overall",1433,243,47.5,64.1,41.2,31.6,17.8,42.2,21.4,17.1,28.2,38.7,39.9
"377","Strider, Spencer","Overall",3290,446,53.2,66.6,41.7,38.4,14.8,35.8,38.6,24.9,57.5,35.9,37.4
"378","Stripling, Ross","Overall",1453,293,48.2,64.9,40.9,31.9,17.7,34.4,23.5,18.7,31,44.4,41.3
"379","Stroman, Marcus","Overall",2203,401,45,61.1,35.8,31.9,16.7,36.6,22.3,11.8,34.8,57.4,41.4
"380","Strzelecki, Peter","Overall",653,106,45.5,61.7,39.5,29.9,17.3,37,26.6,20.1,36.4,38.7,36.8
"381","Suarez, José","Overall",619,116,48.1,61.4,41,32.3,14.2,32.6,28.5,18.9,43.2,33.6,39.7
"382","Suter, Brent","Overall",1129,209,44.2,61.7,39.4,30.4,17.9,35.5,22,13,34.6,46.9,26.3
"383","Suárez, Ranger","Overall",2289,421,45.7,62.3,37.9,34.7,17.6,36.3,22.9,13,34.1,49.4,36.1
"384","Swanson, Erik","Overall",1086,168,49.7,63.7,38.5,37,15.1,34.8,33,26.6,40.5,41.1,39.9
"385","Syndergaard, Noah","Overall",1408,306,49.1,65.2,44.7,31.1,16.7,37.7,17.9,14,25.2,38.2,42.2
"386","Sánchez, Cristopher","Overall",1498,290,48.1,66.3,41,37.4,19.3,33.7,25.8,10.5,43.8,58.3,40
"387","Taillon, Jameson","Overall",2533,469,49.1,64.9,41.5,34,16.8,40.2,22,16.8,29.8,38.4,38.4
"388","Teheran, Julio","Overall",1080,221,48,65.3,40.7,31.7,18.1,36.3,20.2,15.1,28.1,40.7,42.1
"389","Thompson, Mason","Overall",895,170,43.9,61.1,42.8,28.5,17.9,34.9,21.6,10.9,39.7,50.6,35.9
"390","Thompson, Ryan","Overall",589,122,45.5,64.9,41.6,33.1,20,34,20.1,10.4,33.3,61.5,37.7
"391","Thompson, Zack","Overall",1168,188,43.7,62.4,41.1,29.9,19.5,38.8,23.7,16.1,35,45.7,43.6
"392","Tonkin, Michael","Overall",1298,228,50.3,65.6,44.2,33.3,16.3,40.1,24.8,18.7,35.3,38.6,40.4
"393","Topa, Justin","Overall",1046,197,46.4,67.6,44.5,31.8,21.7,39.6,19.1,12.9,29.2,57.4,36.5
"394","Toussaint, Touki","Overall",1595,235,40.1,57.7,35.5,28.3,18.5,37.7,25.2,14,38.5,50.2,39.6
"395","Turnbull, Spencer","Overall",555,103,45.2,62.2,40,32.1,17.8,37.1,21.9,16,29.9,47.6,36.9
"396","Ureña, José","Overall",771,151,47.1,61.1,35.3,34.3,14.9,36.4,21.8,15.6,28.7,48.3,39.7
